Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
Bil og Maskinservice Vuku AS;Bredingsberg  4;7660;VUKU;"BILVERKSTED01B, KONTROLLORGAN01B";983039081
Mjøsbil AS avd. Lillehammer;Korgveien 40;2619;LILLEHAMMER;"MOTORSYKKELOGMOPED, KONTROLLORGAN01B, BILVERKSTED01B";950223243
DRAMMEN KAROSSERI AS avd. Gulskogen;Syretårnet 28;3048;DRAMMEN;"BILGLASS, LYSUTSTYR";958540655
SÆTERNES TRANSPORT AS;INGEBRIGT ØSTNES GATE;7900;RØRVIK;"HENGERESPALOPSBREMSEANLEGG, HJUL";980652386
Osloveien Bil AS;Osloveien  5;1831;Askim;"BILVERKSTED01, KONTROLLORGAN01";827400602
CARGLASS AS avd. Orkdal;Grønøra Industriområde;7300;ORKANGER;BILGLASS;985758220
Tana Traktor & Maskin AS;Tana bru;9845;TANA;TRAKTOR;940554578
TRAILER-TEKNIKK AS;Olav V gate 96B;8004;BODØ;"HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR";920033555
Finsrud Karrosseri og Lakk;Tornerudvegen 35;1831;Askim;BILSKADE;948330180
Suldal Billakkering AS;Sandeidvegen 355;5585;Sandeid;"BILVERKSTED01, BILSKADE";934306643
Nyberg´s Karosseri og Bilservice;Kurlandsveien 54;2006;LØVENSTAD;"BILVERKSTED01, BILSKADE";953448424
STAMNESHAGEN AUTO A/S;Peter Jebsensveg 72;5265;YTRE ARNA;"BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B";934170709
Kjell Strømme A/S Bilforretning;MARVIKSVN 103;4632;KR.SAND;"BILVERKSTED01, KONTROLLORGAN01";825706992
TH BILSKADE OG UTLEIE AS;Oslovegen 1303;2910;AURDAL;BILSKADE;916494629
KRISTIANSAND VAREBILSENTER AS;Rosselandsveien 30;4645;NODELAND;"PABYGGER, BILVERKSTED01";992157526
SANDEFJORD AUTOSENTER AS;HÅGASLETTA 1;3236;SANDEFJORD;"KONTROLLORGAN01B, MOTORSYKKELOGMOPED, BILVERKSTED01B";920187390
Strømmen Bilverksted AS;Skjærvaveien 6b;1466;STRØMMEN;"BILVERKSTED01, KONTROLLORGAN01";914144949
Vianor AS avd. Moss;Årvollskogen 90;1529;MOSS;HJUL;935429447
VINJES TRANSPORT AS;Nardoveien 4;7032;TRONDHEIM;"BILVERKSTED01, KONTROLLORGAN01";929472020
LORENTSEN MEK. VERKSTED;Åsbygda;7690;Mosvik;"BILVERKSTED01, KONTROLLORGAN01";955924800
Bilcenteret AS;Ulsberg;7398;RENNEBU;BILSKADE;987450215
RIIS MONTASJE AS;Ramstadsletta 24;1363;HØVIK;BILGLASS;921979436
"Hønefoss Maskin AS, Eiksenteret i Gol";Elvevegen 5;3550;GOL;"MOTORSYKKELOGMOPED, TRAKTOR";936372023
Vandsvik Mek Verksted AS;  Nesset 96 ;7629;YTTERØY;"BILVERKSTEDALLE, KONTROLLORGAN04";986571655
DOOD'S DEKKSERVICE AS;INDUSTRIGATA 31;4480;KVINESDAL;HJUL;914253152
SKÅRER KAROSSERI AS;SOLHEIMVEIEN 62;1473;LØRENSKOG;BILSKADE;921674449
Bilskadesenteret Østfold AS;Moreneveien 20;1859;Slitu;BILSKADE;988924989
Tromsø Kommune Bydrift;Ringveien 70;9018;TROMSØ;"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN01";940101808
Stabekk Bilsenter AS;Prof. Kohts vei 85;1368;Stabekk;"BILVERKSTED01, KONTROLLORGAN01";985255555
Kvikkservice AS;Eikremsbakken 1;6440;ELNESVÅGEN;"BILVERKSTED01B, KONTROLLORGAN01B";942446748
"Norsk Scania AS, avd. Arendal";Pb.70;4854;Nedenes;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03";879263662
Motorpool Handel AS;Bergerveien 5;1396;BILLINGSTAD;"BILVERKSTED01, KONTROLLORGAN01";947249967
LILLESKOG AUTO;Skjoldastraumsveien 953;5567;SKJOLDASTRAUMEN;BILVERKSTED01;992451807
Volmax AS Råde;Mosseveien 60;1640;RÅDE;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";984674104
BILBUTIKK 1 - FOLLO AS avd. Sarpsborg;Glomveien 5;1710;SARPSBORG;"KONTROLLORGAN01B, BILVERKSTED01B";990175373
Akershus Traktor AS;Arnkvernvegen 10;2320;FURNES;TRAKTOR;947340204
Rosenholm Bilverksted AS;Rosenholmveien 47;1414;TROLLÅSEN;"BILVERKSTED01, KONTROLLORGAN01";994419021
Folla Bil & Båt AS;Storlavika;7770;FLATANGER;"BILVERKSTED01B, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN01B";984036787
Felleskjøpet Agri SA avd. Bodø;Gamle Riksvei 13;8020;BODØ;TRAKTOR;911608103
Gratangen Mekaniske Industri AS;Hellarbogen 17;9470;Gratangen;PABYGGER;931454382
CENTRALGARAGEN A/S;Landfalløya 7;3007;DRAMMEN;"BILVERKSTED01, KONTROLLORGAN01";911010992
Automobil 2000 Kristiansand A/S;RIGETJØNNVN 12A;4626;KR.SAND;"BILVERKSTED01, KONTROLLORGAN01";977320143
HERMANSVERK SERVICESENTER AS;SOGNEFJORDVEGEN 30;6863;LEIKANGER;"BILVERKSTED01, KONTROLLORGAN01";979729049
DD AUTO CENTER AS;FJØSANGERVEIEN 54;5059;BERGEN;"BILVERKSTED01, KONTROLLORGAN01";918438890
M VERKSTED AS;RINGERIKSVEIEN 177;1339;VØYENENGA;BILVERKSTED01;914736927
Bilpartner Autoteknikk AS;Stanseveien 2;0975;OSLO;"BILVERKSTED01, KONTROLLORGAN01";980371107
K.J. FLOTTENS BILVERKSTED;Ulsberg;7393;RENNEBU;BILVERKSTED01;969258218
"Wist Last og Buss AS, avd. Namsos";"Navarvegen 10, Spillum";7820;Namsos;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";958315120
Tromsø Motor AS;Skattørvegen 52;9018;TROMSØ;MOTORSYKKELOGMOPED;979791445
Autoservice Evje AS;Verksvegen 5;4735;Evje;"BILVERKSTED01B, BILSKADE, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B";990725888
Karmøy Bilservice AS;Stongsvingen 70;4270;Vedavågen;"BILVERKSTED01, KONTROLLORGAN01";974444186
NORSK SCANIA AS avd. Mosjøen;Ørbradden 8;8663;MOSJØEN;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";879263662
Treco - Bil AS;Heglandsvegen 51;5680;TYSNES;"BILVERKSTED01, KONTROLLORGAN01";948569175
Strax Auto - Service AS;Gamle Riksvei 369;3055;KROKSTADELVA;"BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B";992358734
ØRLAND DEKKSENTER AS;NORDGRANDVEIEN 58;7130;BREKSTAD;HJUL;921394357
Follo Autosenter  AS;Støttumveien 9b;1540;Vestby;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";986573704
Kråkstad Bilverksted Trygve Eriksen;Askimvegen 145;1408;KRÅKSTAD;"BILVERKSTED01, KONTROLLORGAN01";953347237
YAMAHA SENTERET LØVOLD AS;TOLDER HOLMERS VEI 6;8003;BODØ;"HJUL, MOTORSYKKELOGMOPED, HENGERESPALOPSBREMSEANLEGG";994952145
Yamaha Vinterbro AS;Bedriftsveien 6;0950;OSLO;MOTORSYKKELOGMOPED;958062265
Bilglassmontøren AS avd. Brønnøysund;Salhussletta 5;8909;BRØNNØYSUND;BILGLASS;997106490
AUTOHUSET-MO I RANA AS;RANENGET 2;8626;MO I RANA;"BILVERKSTED01, KONTROLLORGAN01";914282217
Leinesfjord Auto AS ;Leinesfjord;8283;Leinesfjord;"BILVERKSTED01B, KONTROLLORGAN01B";936596371
CARGLASS AS;Pindsleveien 8 - Sandefjord;3221;SANDEFJORD;BILGLASS;985758220
VEGGLI BIL OG FRITID AS;NUMEDALSVEGEN 5820;3628;VEGGLI;"KONTROLLORGAN01, BILVERKSTED01";916482361
STEINSPRUTEN BILGLASS AS AVD TRONDHEIM;Haakon VII gate 17;7041;TRONDHEIM;BILGLASS;914718589
Bertel O. Steen Oslo AS avd. Skøyen ;Drammensveien 207-209;0281;OSLO;"BILVERKSTED01, KONTROLLORGAN01";984993250
APEX AUTO AS;HAUKANESVEGEN 91;5652;ÅRLAND;"KONTROLLORGAN01, BILVERKSTED01";919062150
Furre Bilverksted DA;Reiersølveien 696;4821;Arendal;"BILVERKSTED01, KONTROLLORGAN01";992126698
Toyota Sulland Hamar AS Bilskadeavdelingen;Disenstrandvegen 9;2321;HAMAR;BILSKADE;861401812
Leira Bilservice;Bratsbergvegen 189;7036;TRONDHEIM;"BILVERKSTED01, KONTROLLORGAN01";817920632
Motorhuset Borkenes AS;Tverrveien 1;9475;Borkenes;"BILVERKSTED01B, KONTROLLORGAN01";941106609
ALVDAL AUTOSERVICE LEIF A WÅLENGEN;Nord-Østerdalsveien 5140;2560;ALVDAL;HJUL;980130088
HAUGESUND LAKKSENTER AS;HEMMINGSTADVEGEN 25;5535;HAUGESUND;BILSKADE;979954158
BATTERI ELEKTRO AS;FROLANDSVEIEN 118;4848;ARENDAL;"BILVERKSTED01, KONTROLLORGAN01, BILELEKTRODRIVSTOFFANLEGG, BILBREMSE";914008573
CARGLASS AS;Nedre Rommen 1;0988;OSLO;BILGLASS;985758220
Riis Montasje AS avd. Voss;Lekvemogata 9;5700;VOSS;BILGLASS;921979436
RYDS BILGLASS AS;Åsamyrane 82;5116;ULSET;BILGLASS;913387783
BODAHL-JOHANSEN AS avd FREDRIKSTAD;RÅBEKKSVINGEN 2;1617;FREDRIKSTAD;HJUL;965308032
HOF AUTO AS;VIKEVEIEN 3;3090;HOF;"BILVERKSTED01, KONTROLLORGAN01";979713827
Bikes AS;Nardovegen 6;7032;TRONDHEIM;MOTORSYKKELOGMOPED;997732243
Kvål Auto AS;Hovebakken 9;4306;Sandnes;"BILVERKSTED01, KONTROLLORGAN01";987972726
TUNGEN BIL A/S;Hageveien 15 B;2613;LILLEHAMMER;"BILVERKSTED01, KONTROLLORGAN01";961345421
TREKANTEN BILVASK OG BILPLEIE DA;KNUD ASKERS VEI 26;1383;ASKER;HJUL;921049749
Korgen Autosenter AS;Olderneset Leirskardveien 2;8646;KORGEN;"BILVERKSTED01, KONTROLLORGAN01";912643204
Bergsodden Auto;Bergsodden 28;9403;HARSTAD;"BILVERKSTED01, KONTROLLORGAN01";993359335
Statoil E6 Støren;SVARTØYA 9;7290;STØREN;HJUL;983924840
FLATANGER MOTOR AS;Storlavika;7770;Flatanger;"BILVERKSTED01, KONTROLLORGAN01";971207558
Nordvik AS avd. Svolvær;Sivert Nilsensgate 43;8300;Svolvær;"BILVERKSTED01, KONTROLLORGAN01";946549770
VEST BILSKADESENTER AS;EINERVEIEN 4;3229;SANDEFJORD;BILSKADE;993826650
Berg Service AS;Vesterberg Industriområde;8920;Sømna;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";942635974
Bulk Bilskadeservice AS;Gladengveien  8;0553;Oslo;BILSKADE;880252372
HØSTLAND AS;;7860;SKAGE I NAMDALEN;HENGERESPALOPSBREMSEANLEGG;980047075
MITT DEKKHOTELL RØA AS;ASLAKVEIEN 14;0753;OSLO;HJUL;992122714
OSLO BILGLASS AS;Bedriftsveien 6;0950;OSLO;BILGLASS;989140523
NAF Senter Narvik ;Millerjordneset 3;8520;ANKENES;KONTROLLORGAN01;987372540
Norsk Scania AS avd. Borgeskogen;Borgeskogen 44;3160;TØNSBERG;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";879263662
Hydrosenteret Åfjord LBV AS; Åvegen 7;7170;Åfjord;"BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B";917554439
DEKKMESTEREN AS avd. Kalbakken;STÅLFJÆRA 1;0975;OSLO;HJUL;999325882
Elverum Tekniske verksted;Torolf Storsveensvei 1;2411;ELVERUM;BILVERKSTEDALLE;988567949
KJETIL AUNE;Biskopholmen;8900;BRØNNØYSUND;HJUL;987776072
Forus Bilskade AS;Boganesveien 54;4020;STAVANGER;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01, MOTORSYKKELOGMOPED";993057339
BDPS BIL & DIESELPUMPESERVICE A/S;Kokstadflaten 32;5257;BERGEN;"BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, BILBREMSE, KONTROLLORGAN01B";981954831
Møller Bil Asker og Bærum avd. Audi;Billingstadsletta 2;1396;BILLINGSTAD;"BILVERKSTED01, KONTROLLORGAN01";928481638
Lesjaskog Auto AS;Lesjaskog;2668;LESJASKOG;"BILVERKSTED01, KONTROLLORGAN01";960824873
Skansen Auto AS;Bossekopveien 60;9513;ALTA;"BILVERKSTED01B, KONTROLLORGAN01B";994699024
LINDBERG MOTOR AS;ST. HALVARDS GATE 71;0657;OSLO;BILVERKSTED01;919277912
Bilpartner karosseriteknikk A/S;Stanseveien 2;0975;Oslo;BILSKADE;948095254
TRAKTOR AS;FARSUNDSVEIEN 135;4580;LYNGDAL;TRAKTOR;986344977
Landbruk og Transportservice AS;Strandveien 20;9050;STORSTEINNES;BILVERKSTEDALLE;992852585
DRAMMEN KAROSSERI AS;Kobbervikdalen 75;3044;DRAMMEN;BILSKADE;958540655
Siggerudvn. Bilverksted A/S;Siggerudvn. 1302;1404;SIGGERUD;"BILVERKSTED01B, KONTROLLORGAN01B";933615162
BJØRKLUND MEK VERKSTED AS;STEINBEKKHAUGV 54;8610;MO I RANA;PABYGGER;877029522
Runes Autoverksted AS;INDUSTRIVEIEN 13;1400;SKI;"KONTROLLORGAN01B, BILVERKSTED01B";919893613
Braathen Bil;Skåla;6456;SKÅLA;BILSKADE;981535936
PARKO AS;VESTRE STRANDGATE 13;4610;KRISTIANSAND S;HJUL;950237007
THUNE AUTOSERVICE AS;STORVEIEN 19;9310;SØRREISA;HJUL;991430628
Ekeri Norge AS; Hunnselvvegen 10;2830;RAUFOSS;PABYGGER;987620412
IVAR & TRYGVES BILVERKSTED AS;Valveien 48;8900;Brønnøysund;"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED";971130229
MJA Bilservice AS;Nye Teglverks vei 42;4632;Kristiansand;"BILVERKSTED01B, KONTROLLORGAN01B";991877312
Sauda Bilverksted AS;BIRKELANDSVEGEN 122;4200;SAUDA;"BILVERKSTED01, KONTROLLORGAN01";913847881
GRENLAND DEKK OG FELG MINDAUGAS NAVICKAS;NEDRE KONGERØD 20;3735;SKIEN;HJUL;914986400
Øystein Heggem;Kortgården;6455;Kortgården;BILVERKSTED01;981224140
RK Verksted og Bilsalg AS;Åsaringen 100;7236;HOVIN I GAULDAL;"BILVERKSTED01, KONTROLLORGAN01";991392610
Stathelle Auto A/S;Dronning Margrethesvei 3;3960;STATHELLE;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";984152329
M&M Auto AS;Trommedalsjordet 2;3735;SKIEN;"BILVERKSTED01, KONTROLLORGAN01";995945037
Heistad Bil & Caravan A/S;Heistaddalen 37;3940;Porsgrunn;"BILVERKSTED01B, KONTROLLORGAN01B";984204507
VÅGÅ BILSERVICE AS;INDUSTRIVEGEN 40;2680;VÅGÅ;"KONTROLLORGAN01, BILVERKSTED01";916498683
Ålesund Bilsenter AS;Tverrvegen 34;6020;ÅLESUND;"BILVERKSTED01, KONTROLLORGAN01";815709322
HR Bildeler Risør AS;Hestemyrveien 18;4950;RISØR;"KONTROLLORGAN01B, BILVERKSTED01B";985867194
"Bertel O. Steen Vestfold AS, avd Sandefjord";Skolmar 20;3232;SANDEFJORD;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";918707565
SENJA AUTOSERVICE AS;;9372;GIBOSTAD;HJUL;917425450
Team Verksted Møre AS avd. Lakk-Tech;Håhjem Næringspark;6260;SKODJE;"BILSKADE, PABYGGER";935862957
Sigurd Pedersen AS;Strandgata 60;8403;SORTLAND;"BILVERKSTED01B, KONTROLLORGAN01B";935396387
Autoservice Solør AS;Flismyrvegen 30;2280;GJESÅSEN;"BILVERKSTED01, KONTROLLORGAN01";889452722
Auto 8-8- Forum avd. Florø;Leirvåggata 1;6909;FLORØ;"BILVERKSTED01, KONTROLLORGAN01";959167915
Nonslid Bilservice AS;Nygård;5574;Skjold;"BILVERKSTED01B, KONTROLLORGAN01B";984662076
DEKK1 AS avd. Fredrikstad;Stabburveien 10;1617;FREDRIKSTAD;"HENGERESPALOPSBREMSEANLEGG, HJUL";979579292
DEKKMANN AS;Bakkeveien 1C;2827;HUNNDALEN;HJUL;966242825
Tine Meieriet Bergen;Postboks 103 Kristianborg;5822;BERGEN;"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, LYSUTSTYR, HJUL";947942638
Bulder Verksted (Hamar);Narmoveien 191;2323;INGEBERG;"BILVERKSTEDALLE, KONTROLLORGAN04";993026352
ELVAGJENG TRANSPORT;STENEHJEM;6856;SOGNDAL;HJUL;982527686
DEKKTEAM AS avd. Spydeberg;Sørmyrveien 3;1820;SPYDEBERG;HJUL;870897332
"Lena Maskin AS, avd. Rudshøgda";Leinskogen 5;2360;RUDSHØGDA;TRAKTOR;941263003
AUTOSALG A.S;Storetveitvegen 58;5072;BERGEN;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";964405689
Nygård Bil AS;Strandgata 14;3340;Åmot;"BILVERKSTED01, KONTROLLORGAN01";979512945
Auto 2000 A/S;Myklabergveien 1A;4314;SANDNES;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";919213566
Bertel O Steen Rogaland AS (lette);Vassbotn 9  Forus;4069;Stavanger;"BILVERKSTED01, KONTROLLORGAN01";912771784
Møller Bil Oppland AS avd Gran;Mohagalia 2;2711;GRAN;"BILVERKSTED01B, KONTROLLORGAN01";919781491
AUTO CENTER ROGALAND AS;SJØVEIEN 4;4315;SANDNES;"BILSKADE, BILVERKSTED01, KONTROLLORGAN01";916836775
Follo Autoco AS;Kjeppestadveien 30;1400;SKI;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";941831753
W-Mek Kåre Jensen;Weensvangvegen 438;2338;ESPA;PABYGGER;994644696
Etne Auto AS avd Verksted;Tungane 24;5590;ETNE;"BILSKADE, BILVERKSTED01B, KONTROLLORGAN01B";913545311
Jæger Sentrum A/S avd Åsane;"Liamyrane, 5132 NYBORG";5863;NYBORG;"BILVERKSTED01, KONTROLLORGAN01";977266629
Biltech AS;Haraldvollveien 1;9325;BARDUFOSS;"BILVERKSTED01, MOTORSYKKELOGMOPED, HJULUTRUSTNING, KONTROLLORGAN01";987817879
Sulland Elverum AS;Svartbekkvn. 51;2406;ELVERUM;"BILVERKSTED01, KONTROLLORGAN01";963666543
Øvre Sagen Servicesenter;Melåsbergsveien 307;2416;JØMNA;"BILVERKSTED01, KONTROLLORGAN01";990780595
SKAANSAR AUTO AS;Moaveien 33 B;2605;LILLEHAMMER;"BILVERKSTED01, KONTROLLORGAN01";976548248
TORLAND MASKIN AS;TORLANDSVEGEN 190;4365;NÆRBØ;TRAKTOR;989423940
NAF Senter Molde ;Gammelseterlia 9;6422;Molde;KONTROLLORGAN01;987372540
AK Maskin AS avd. Sarpsborg;Lilletunveien 8;1711;SARPSBORG;TRAKTOR;946468037
ROLF G SKJÆVELAND AS;O.G. KVERNELANDS VEG 13;4355;KVERNALAND;HJUL;979611358
GUNNARSRUD BIL & CARAVAN;Ing. Rybergsgt. 99;3027;DRAMMEN;BILSKADE;913329155
"Bil i Nord AS, Finnsnes";Botnhågen;9300;Finnsnes;"BILVERKSTED01, KONTROLLORGAN01";983666280
Paulsen Motor AS;Kaivegen 12;6770;NORDFJORDEID;MOTORSYKKELOGMOPED;994387502
Sulland Otta AS;Skansen 4 A;2670;OTTA;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";952073559
AUTOCENTERET AS avd 10;ANKENESVEIEN 148;8520;ANKENES;"BILVERKSTED01B, KONTROLLORGAN01B, BILVERKSTED03, BILVERKSTED02";976263782
NOR-KA AS avd. OSLO;Karihaugveien 102;1086;OSLO;PABYGGER;984589824
SH-PARTNER AS;Kraftveien 14;9440;EVENSKJER;HJUL;895682292
NAF Senter Jessheim;Energivegen 16;2069;JESSHEIM;KONTROLLORGAN01;987372540
H.B.K. Verdal A/S;Kometvegen 4;7652;VERDAL;"BILBREMSE, PABYGGER";984596413
B&B Bilverksted AS;BIRKELANDSVEGEN 102;4200;SAUDA;"BILVERKSTED01, KONTROLLORGAN01";815359852
Bekkelund & Knutsen AS;Kanalgata 7;3263;LARVIK;PABYGGER;985384797
HAGEN CARAVAN AS;Gudbrandsdalsvegen 1987;2630;RINGEBU;"HENGERESPALOPSBREMSEANLEGG, HJUL";948939606
JÆREN SKOG & HAGE AS;BLÅKNAPPVEGEN 7;4340;BRYNE;"LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG";913414845
CENTRUM BIL   DA;NESVN 2B;4700;VENNESLA;"BILVERKSTED01, KONTROLLORGAN01";980746895
KIRKENG BIL AS;Storgata 26;1890;Rakkestad;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";981886828
AUTOSTRADA JORKJEND AS;Nomeveien 46;3733;SKIEN;"BILVERKSTED01, KONTROLLORGAN01";980775747
AMTMANNSVINGEN MOTORSENTER AS;BERGSMYRVEIEN 41;4900;TVEDESTRAND;"HJUL, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG, BILGLASS";981513320
Storfjord  Auto AS;Skibotn;9143;Skibotn;"BILVERKSTED01, KONTROLLORGAN01";993606669
Sulland Auto Trøndelag AS;"Vestre Rosten 83,";7075;TILLER;"BILVERKSTED01, KONTROLLORGAN01";912039447
TREDAL AS;Vester Rosten 110;7075;TILLER;HENGERESPALOPSBREMSEANLEGG;945707208
Motor Forum AS;Yttersøveien 1;3255;LARVIK;"BILVERKSTED01, KONTROLLORGAN01, BILSKADE";937698917
Dalsfjord Bil og Motor AS;Kapstad;6977;BYGSTAD;BILVERKSTED01;912091554
SIGM TROLI & SØNN AS;Trones;8110;Moldjord;"BILVERKSTED01B, TRAKTOR, KONTROLLORGAN01";954923452
PARKEN BIL & KAROSSERI AS;SKIBÅSEN 15 AB;4636;KRISTIANSAND S;"BILVERKSTED01B, KONTROLLORGAN01B";914149223
BILPLUSS MO I RANA AS;Verkstedveien 1;8624;Mo i Rana;"BILVERKSTED01B, KONTROLLORGAN01";983988210
Ryds Bilglass Rogaland AS;Åvegen 2;4100;JØRPELAND;BILGLASS;989204068
Tyssedal Bilservice;Skjeggedalsvegen 2;5770;TYSSEDAL;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";933502244
AS Landmaskin;Randåsveien 5;8803;SANDNESSJØEN;TRAKTOR;918523979
Meråker Bil og Fritid AS;Meråkernesstrøa;7530;MERÅKER;"BILVERKSTED01, KONTROLLORGAN01";999065112
Bertel O. Steen Rogaland AS (tunge);Vassbotnen 9 Forus;4069;Stavanger;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04";912771784
Nordic Last og Buss AS avd. Narvik;Ankenesveien 100;8520;ANKENES;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";979463332
Vestoppland Karosseri AS;Nedre Holmenveg 1;2827;HUNNDALEN;BILSKADE;982120918
Toppgir AS;Indrehovdevegen 59;6160;HOVDEBYGDA;"BILVERKSTED01B, KONTROLLORGAN01B";997253868
"Funnemark AS, avd Seljord";Brøløsvegen 1;3840;SELJORD;"BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE";911876493
Spesial Lakkering AS;Vorsetøyveien 25;8300;SVOLVÆR;BILSKADE;958243391
Lakkservice AS;Markveien 3;1738;BORGENHAUGEN;BILSKADE;958768168
CARGLASS AS Avd. Kristiansand;Barstølveien 6;4636;KRISTIANSAND S;BILGLASS;985758220
Ørsta Auto A/S;Vikegeila 4;6150;ØRSTA;"BILVERKSTED01, KONTROLLORGAN01";986683194
Einar Flakk Verksted AS ;Lille Heimdal ;4760;Birkeland;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";917421781
GLASSMESTER ERLING ERIKSEN AS;TERMINALGATA 114;9019;TROMSØ;BILGLASS;989695061
Vest Bil AS;Skare industriområde;5763;SKARE;"BILVERKSTED01, KONTROLLORGAN01";883242092
Bilsenteret AS;Saltverket 28;4515;Mandal;"BILVERKSTED01, KONTROLLORGAN01, BILSKADE, BILGLASS";986552839
BIL-DEMONTERING INNLANDET AS;Øveralmsvegen 38;2848;SKREIA;BILVERKSTED01;969030179
RIPLE Bil AS;Nygårdsgt 23-27;5015;BERGEN;"BILVERKSTED01B, KONTROLLORGAN01B";861801772
Sunnfjord Energi AS;Firdavegen 5;6800;FØRDE;BILVERKSTED01B;916501420
Mobile Oslo AS;Gladengveien 9;0661;OSLO;"BILVERKSTED01, KONTROLLORGAN01";960678869
STICKLER DEKK AS;NORDRE FOKSERØD 21;3241;SANDEFJORD;HJUL;915108849
Hubred Karosseri;Vømmølsvika 165;2850;LENA;BILSKADE;970172009
BILGUMMILAGERET AS;BYGNES;4250;KOPERVIK;HJUL;993098647
Tor & Bjørn Autoservice AS;Storåkeren 9;9411;HARSTAD;"BILVERKSTED01, KONTROLLORGAN01";939188282
Oslo Bilverksted AS;ALFASET 1. INDUSTRIVEI 7;0668;OSLO;"KONTROLLORGAN01, BILVERKSTED01";920632246
Truck og Maskin AS;Ørbradden 1;8663;MOSJØEN;TRAKTOR;987699507
BILSKADESENTERET AS;Hafstadvegen 97;6800;FØRDE;BILSKADE;981343654
RYDS BILGLASS AS avd. Ski;Nordbyveien 70;1406;SKI;BILGLASS;913387783
SANNIDAL BILVERKSTED A/S;Sannidalsvn. 164;3766;SANNIDAL;"BILVERKSTED01B, KONTROLLORGAN01B";915720234
Trips of Norway AS;Losvegen 4;6050;VALDERØYA;HJUL;920401996
Norheimsund Servicesenter AS;Hardangerfjordvegen 63;5600;NORHEIMSUND;"BILVERKSTED01, KONTROLLORGAN01";982830478
BILSKADESENTERET NORDFJORD AS;HEGREVEGEN 1;6783;STRYN;BILSKADE;919829249
Riisland Biloppretting;Gamle Vestvegen 15;4865;Åmli;BILSKADE;975967352
BOBILSENTERET NAMSOS AS avd. Bodø;Gjershellaren 2;8050;TVERLANDET;HENGERESPALOPSBREMSEANLEGG;981524594
VERMAX AS;KARIHAUGVEIEN 102;1086;OSLO;PABYGGER;914428777
Vegårshei Bil;Vegerstøl;4985;Vegårshei;BILSKADE;978697437
Eide Motor & Utleie AS;Tromsøysundveien 22;9020;TROMSDALEN;MOTORSYKKELOGMOPED;990170991
Dokka Bilverksted AS;Rosteinvegen 4;2870;Dokka;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";990598428
TROFORS BIL OG LANDBRUKSVERKSTED AS;Vassbekkenge;8680;Trofors;"BILVERKSTED01B, TRAKTOR, KONTROLLORGAN01B";994287621
TEVO DEKK AS AVD ÅLESUND;Storevågen 73;6020;ÅLESUND;HJUL;995180065
Flesland Auto AS;Espehaugen 50 B;5258;BLOMSTERDALEN;"BILVERKSTED01, KONTROLLORGAN01";996822419
Øksnes Bil & Maskin AS;Storgt. 53;8430;Myre;"BILVERKSTED01B, KONTROLLORGAN01B";951710814
Skala Fabrikk AS;Terminalen 6;7080;HEIMDAL;PABYGGER;950803169
OPPDAL GRAVING OG TRANSPORT AS;Nordre Industrivegen 14;7340;OPPDAL;BILVERKSTEDALLE;812288962
